index,source_id,ra_2026p10_deg,dec_2026p10_deg,xpix,ypix,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
105,2560422286537018496,25.2629076177,3.2575800448,1375.704,3446.848,25.2628704529,3.2575780388,12.42717,0.67183,14.0395,14.4208,13.4894
106,2560378134273198464,25.2102576475,2.9575329007,1564.884,2366.627,25.2101713751,2.9574974151,28.85596,11.88489,14.0436,14.4014,13.5212
107,2512266116781932928,25.6406022741,2.5542670980,17.044,915.200,25.6405835425,2.5542194665,6.26737,15.95280,14.0577,14.6761,13.3072
108,2558812842032319488,25.1161762602,2.5512564267,1903.164,904.019,25.1161394409,2.5512773631,12.31933,-7.01204,14.0662,14.5779,13.3985
109,2560378202992674688,25.2343333592,2.9739279030,1478.331,2425.655,25.2346860093,2.9741852501,-117.95086,-86.19095,14.0764,15.0354,13.1069
110,2558794184694393216,25.1097641766,2.3412113996,1926.247,147.827,25.1098235267,2.3413340758,-19.86101,-41.08687,14.0847,14.8592,13.2142
111,2560350337244887552,25.4349199288,2.8913738475,757.107,2128.579,25.4349010392,2.8914200321,6.31848,-15.46822,14.1148,14.4439,13.6179
112,2558818369654494336,24.9459735603,2.6400040443,2515.240,1223.570,24.9459645301,2.6400059434,3.02120,-0.63604,14.1171,14.3969,13.6748
113,2560355937882236672,25.5163865674,3.0233734499,464.341,2603.877,25.5163516886,3.0233598373,11.66539,4.55915,14.1401,14.5937,13.5241
114,2560415139711438976,25.3973908175,3.2180784813,892.296,3304.721,25.3973939633,3.2180987813,-1.05190,-6.79891,14.1447,14.5988,13.5242
115,2512260653583528960,25.4700776867,2.4925902984,630.298,692.959,25.4700822688,2.4926253828,-1.53317,-11.75052,14.1470,14.5177,13.6099
116,2512257526847337856,25.4530184535,2.4084626901,691.577,390.069,25.4530116106,2.4084973434,2.28981,-11.60609,14.1684,14.5682,13.3746
117,2560389709209844608,24.7431038469,3.0001631138,3244.376,2520.355,24.7430699539,3.0001957809,11.33593,-10.94089,14.1755,14.5993,13.5834
118,2560385590336408832,24.7643364265,2.9011911034,3168.155,2164.018,24.7643027242,2.9012033059,11.27314,-4.08688,14.1859,14.6435,13.5622
119,2560376931682358016,25.0750924802,2.9022113122,2050.845,2167.469,25.0751048807,2.9021911871,-4.14786,6.74031,14.2027,14.9546,13.3602
120,2512266426019600128,25.5344693601,2.5088558370,398.715,751.580,25.5344541424,2.5088756303,5.09184,-6.62920,14.2052,14.5393,13.7051
121,2560409058037748608,25.3052366160,3.2003953134,1223.532,3240.992,25.3052257766,3.2003670528,3.62469,9.46506,14.2056,14.5432,13.6993
122,2560328140853903488,25.2735344078,2.8437235386,1337.345,1956.930,25.2735174988,2.8437185172,5.65621,1.68179,14.2166,14.5413,13.7217
123,2560380195857501056,25.0640067208,2.9572045852,2090.689,2365.449,25.0639624815,2.9572195683,14.79693,-5.01814,14.2215,14.6905,13.5954
124,2560310754826293632,25.3467659315,2.6748162453,1073.929,1348.897,25.3466701097,2.6748016373,32.05778,4.89252,14.2512,14.7949,13.5540
125,2558810436850637568,25.0170404149,2.4407170656,2259.746,506.086,25.0169869372,2.4406846801,17.89456,10.84659,14.2541,14.6978,13.6399
126,2560378306071917312,25.2611171492,2.9568643083,1382.033,2364.235,25.2611057161,2.9568658922,3.82409,-0.53049,14.2908,14.7903,13.6393
127,2558856478900031616,24.7146585378,2.5222500990,3347.276,799.848,24.7146698756,2.5222721192,-3.79358,-7.37501,14.3017,14.6758,13.7593
128,2560297354528335872,25.3574863704,2.4639301452,1035.240,589.696,25.3574763175,2.4639479852,3.36381,-5.97500,14.3145,14.6354,13.8254
129,2560390847376371328,24.7021883711,3.0424125259,3391.421,2672.517,24.7020974408,3.0423823642,30.41158,10.10179,14.3409,14.7900,13.7324
130,2560385933933792384,24.7245749319,2.9291231758,3311.084,2264.628,24.7246035714,2.9291597649,-9.57944,-12.25447,14.3411,14.6811,13.8369
131,2560316733420770816,25.2622388893,2.6593964758,1377.893,1293.346,25.2622474540,2.6594179809,-2.86543,-7.20251,14.3415,14.6175,13.9018
132,2560398372159076864,24.8926749262,3.1325836420,2706.534,2996.924,24.8926325474,3.1325838635,14.17235,-0.07419,14.3716,14.6750,13.8930
133,2560356212760142848,25.4965344904,3.0466045860,535.737,2687.488,25.4965334928,3.0466561504,0.33363,-17.27000,14.3769,14.8458,13.7521
134,2558857337893464064,24.6685198947,2.5353794205,3513.207,847.174,24.6684875749,2.5353983104,10.81402,-6.32661,14.3779,14.8327,13.7532
135,2560399231152535680,24.8859004862,3.1548301420,2730.869,3077.021,24.8858806970,3.1548529117,6.61778,-7.62607,14.3812,14.7130,13.8801
136,2560366795559523200,24.9678922095,2.6995488149,2436.383,1437.922,24.9678694794,2.6996328457,7.60431,-28.14369,14.3852,14.8008,13.8002
137,2560324464361899520,25.3325961184,2.7792363271,1124.946,1724.804,25.3325912051,2.7792439385,1.64363,-2.54921,14.3870,14.7199,13.8795
138,2558868710966885248,24.7119996018,2.7002497559,3356.603,1440.676,24.7119799167,2.7002769844,6.58561,-9.11939,14.4137,14.8349,13.8321
139,2560356281479619200,25.4868337194,3.0542504512,570.620,2715.003,25.4868428111,3.0542606348,-3.04067,-3.41071,14.4769,14.8357,13.9437
140,2560299965868450304,25.3393999861,2.5282206084,1100.331,821.139,25.3393678680,2.5282217568,10.74654,-0.38464,14.4858,14.8189,13.9828
141,2560357758948367360,25.4635868128,3.0985156252,654.237,2874.338,25.4635886775,3.0985107663,-0.62361,1.62734,14.4992,14.7567,14.0822
142,2510754563171628032,25.2308025093,2.3050251072,1490.849,17.555,25.2307916587,2.3050444062,3.63119,-6.46363,14.5177,14.8583,14.0059
143,2560313297446930048,25.4492470596,2.7669375796,705.477,1680.615,25.4492347543,2.7667889229,4.11650,49.78824,14.5274,15.3470,13.6379
