index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,xpix,ypix,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag,parallax_mas,radial_velocity_kms
667,2542182831742595840,5.8578727540,-0.7094059843,00:23:25.9,-00:42:33.9,1186.225,2260.610,5.8578766497,-0.7093496053,-1.30463,-18.88252,16.9667,17.2116,16.5664,0.23508,nan
668,2542170393517292544,5.7565235205,-0.7796897214,00:23:01.6,-00:46:46.9,1551.070,2007.605,5.7565118169,-0.7796922604,3.91943,0.85036,16.9726,17.4515,16.3262,0.41564,nan
669,2542038933157508608,5.3892638356,-1.3209194333,00:21:33.4,-01:19:15.3,2873.000,59.089,5.3891641352,-1.3208055245,33.38288,-38.15043,16.9781,17.7637,16.1002,1.45793,nan
670,2542215881514650112,5.3667632246,-0.7035620564,00:21:28.0,-00:42:12.8,2954.097,2281.658,5.3665392343,-0.7035752020,75.01342,4.40273,16.9787,18.4946,15.6553,5.86725,nan
671,2542115108697438080,5.1183280382,-0.9963215451,00:20:28.4,-00:59:46.8,3848.319,1227.616,5.1183322202,-0.9962821887,-1.40042,-13.18129,16.9796,17.4225,16.3889,0.75258,nan
672,2542217088401666048,5.2298488298,-0.7195464558,00:20:55.2,-00:43:10.4,3446.959,2224.082,5.2297439626,-0.7195668099,35.11946,6.81701,16.9804,18.1897,15.8975,2.93777,nan
673,2541948738844732416,5.8573719009,-1.2520442708,00:23:25.8,-01:15:07.4,1188.147,307.041,5.8573416615,-1.2520091117,10.12540,-11.77554,16.9832,17.2306,16.5705,0.22376,nan
674,2542062847535407744,5.3340073561,-1.1161186583,00:21:20.2,-01:06:58.0,3071.926,796.414,5.3340521915,-1.1160937685,-15.01347,-8.33612,16.9840,18.5023,15.7810,3.07048,nan
675,2542066867624772608,5.1572317653,-1.0725714441,00:20:37.7,-01:04:21.3,3708.250,953.120,5.1572011884,-1.0725474399,10.23905,-8.03950,16.9850,17.4507,16.2960,1.07496,nan
676,2541940801745203840,6.1674602502,-1.2287927865,00:24:40.2,-01:13:43.7,71.975,390.576,6.1674667365,-1.2287790346,-2.17189,-4.60578,16.9878,17.3202,16.4886,0.10758,nan
677,2545275448713854848,5.4183665636,-0.1676645453,00:21:40.4,-00:10:03.6,2768.410,4210.973,5.4183077214,-0.1676616454,19.70741,-0.97124,16.9921,18.0668,15.9608,2.63129,nan
678,2542053639125486976,5.0687460588,-1.3002728711,00:20:16.5,-01:18:01.0,4026.674,133.261,5.0687086296,-1.3003195427,12.53257,15.63130,17.0000,17.9582,15.9973,1.67374,nan
679,2542152423374132864,5.9195499001,-0.9389300588,00:23:40.7,-00:56:20.1,964.260,1434.292,5.9195582226,-0.9389333961,-2.78702,1.11773,17.0011,18.1487,15.9460,2.72710,nan
680,2541858097854587008,5.6350864023,-1.2769936299,00:22:32.4,-01:16:37.2,1988.224,217.264,5.6350931361,-1.2769628412,-2.25474,-10.31176,17.0034,17.4854,16.3717,0.70709,nan
681,2542205612249169280,6.1230574650,-0.4686035539,00:24:29.5,-00:28:07.0,231.480,3127.461,6.1230644257,-0.4685838656,-2.33118,-6.59403,17.0058,17.4357,16.4117,0.62116,nan
