field,source_id,RA,Dec,mag_nb,mag_bb,line_flux_erg_cm2_s,logL_Lya_erg_s,area_arcsec2,priority
j2259,68,344.60699218767854,13.489238693031982,25.6467,26.909145,1.7132740470174165e-17,42.188936800570616,29.4228199915689,3
j2259,583,344.94685548433995,14.058146517232206,26.411293,32.033813,1.2255764345375649e-17,42.04345036613368,29.396868306735755,3
j2259,630,345.1514520482324,14.19221312144214,24.97487,25.955652,2.7524737544008238e-17,42.3948331509525,29.307860496757822,3
j2259,307,345.31924231032593,13.775279090617964,25.79276,27.66865,1.791628666439465e-17,42.208357967039326,29.27706130244215,3
j2259,472,344.90388292670696,13.970312238980949,25.428722,26.565891,1.9777103572071534e-17,42.25127265233687,29.26072216421492,3
j2259,470,344.51966747320944,13.966926749146584,26.048084,28.269032,1.499491349316304e-17,42.13105392903077,29.218305577259702,3
j2259,170,344.4026884379564,13.659292438700623,25.592333,26.83821,1.7886515868406812e-17,42.20763571657375,28.797845248198406,3
j2259,257,344.9121615243329,13.728552713968666,25.333853,26.303003,1.963049792946389e-17,42.248041280068,28.78252671194131,3
j2259,35,344.78900149805054,13.442819327186664,25.2206,26.796537,2.826024831723285e-17,42.4062859379964,28.50312331389216,3
j2259,97,344.59823933312896,13.512356241021784,24.993532,26.336695,3.2286445471638385e-17,42.46413019904868,28.19630911101058,3
j2259,274,345.14441598927544,13.74647193959572,25.771809,27.869682,1.8995139811583208e-17,42.2337524588851,28.15879710097056,3
j2259,312,344.48819190371154,13.783302051950358,25.111465,26.712563,3.146750124333459e-17,42.45297222243575,27.999963773530364,3
j2259,270,345.2358208174651,13.742771403417724,26.125168,29.879534,1.5536264468337412e-17,42.14645656987535,27.93872322473669,3
j2259,419,345.1545543485868,13.91306456403512,25.804876,27.476084,1.6923246222391653e-17,42.1835936376046,27.879414136708647,3
j2259,654,344.5056704867698,14.231194863294684,25.160446,26.343018,2.5881049818923786e-17,42.36809185314711,27.587207491902227,3
j2259,179,345.2451754982771,13.665609584445152,25.147474,26.168718,2.4064255569787546e-17,42.33648239568394,27.56206312324288,3
j2259,626,345.1682437455611,14.190409983788994,25.269075,26.78264,2.653748867751271e-17,42.37896978628504,27.281429764221485,3
j2259,449,345.1348744685341,13.938281128573426,26.125969,28.759111,1.461170251373176e-17,42.11981078603893,27.15314452018124,3
j2259,200,344.7534779393501,13.6807905597104,25.557913,26.419062,1.4811391396437208e-17,42.12570582288849,27.014012039690208,3
j2259,703,345.04015829404085,14.300108002059146,25.556902,26.390284,1.4507895715918873e-17,42.11671438957824,26.87715027074416,3
j2259,352,344.3711924786468,13.812459193771724,25.10991,26.320229,2.746112378949078e-17,42.39382827027169,26.4158490188168,3
j2259,163,344.730650292704,13.65271578755748,25.656078,26.8877,1.6762944171237746e-17,42.17946026301091,26.209496045451623,3
j2259,417,344.57012581662445,13.911383557181331,25.619444,27.85456,2.2296429864585442e-17,42.30334529318452,26.09044772451353,3
j2259,452,344.4554309036636,13.94199725873812,25.3365,27.045767,2.6296696855560988e-17,42.37501116432285,26.064565976678587,3
j2259,522,344.5258834295824,14.005408692448322,25.211807,26.276115,2.324460440767505e-17,42.32143212387323,25.765374420048424,3
j2259,1,344.7133772516919,13.39188195661279,25.304575,26.610258,2.3895745822723905e-17,42.33343055446952,25.70179395983461,3
j2259,84,344.973453327638,13.503610986520854,25.201527,26.009817,1.971830254153314e-17,42.24997949019606,25.694802251331865,3
j2259,390,344.34633192349713,13.867047726195324,25.176907,27.718287,3.472104636357778e-17,42.495702769133885,25.66316363137013,3
j2259,230,344.8172969012481,13.702104667418457,25.118652,26.244154,2.6160573620341297e-17,42.37275722689637,25.658231245678767,3
j2259,275,344.7399224928766,13.7471707317044,25.397804,27.828041,2.8003931985665346e-17,42.40232897859888,25.56944274256365,3
j2259,657,344.76118053659815,14.23511397300268,25.58555,27.387604,2.1353921536653882e-17,42.284587607015744,25.531115993332413,3
j2259,193,344.7551701442183,13.676207160292096,25.768574,27.479334,1.766963182785222e-17,42.20233746485905,25.525066562248306,3
j2259,665,344.96361977747074,14.245305173769768,24.79708,25.619242,2.8947302133344766e-17,42.41671805843947,25.298225432797995,3
j2259,511,344.406258463228,14.00053690972267,25.133974,26.537588,2.899716802740984e-17,42.417465549543074,25.23422606956538,3
j2259,584,344.5984190581032,14.059098158426242,25.874979,28.62424,1.859305260689885e-17,42.2244606624897,25.11737036359844,3
j2259,603,344.6158101944984,14.155788174396957,24.887327,25.830769,2.912475862143036e-17,42.41937229913418,25.089312882426302,3
j2259,638,345.1523794615307,14.206767687884012,24.967617,25.906729,2.6970619927789478e-17,42.38600089336363,25.056054320410738,3
j2259,81,344.6102537127733,13.499837683370254,25.624569,27.446285,2.0686957917288242e-17,42.27080659538838,24.711997365268097,3
