field,source_id,RA,Dec,mag_nb,mag_bb,line_flux_erg_cm2_s,logL_Lya_erg_s,area_arcsec2,priority
j0022,285,5.254929344841568,-0.8154292194481526,24.985344,26.806568,3.915278794652787e-17,42.52126513669457,20.43581691516945,2
j0022,436,5.463460716826179,-0.675459228200274,24.430786,25.776844,5.701807123446636e-17,42.68451496668581,20.394988536193857,2
j0022,410,5.483971201145199,-0.6988096966648937,24.517529,25.633543,4.757928300423323e-17,42.60592033761144,20.335942611405443,2
j0022,505,5.998922242633288,-0.6226122507802215,24.713144,26.195036,4.6067153826945157e-17,42.59189382546754,20.19100120822436,2
j0022,247,5.768094574124715,-0.8473574743453226,24.141062,26.006233,8.598376243860994e-17,42.86291888931781,20.16089888499948,2
j0022,341,5.563661096948624,-0.7708974158190447,24.776514,27.134455,5.170971879548139e-17,42.64207462048514,19.624867791320487,2
j0022,321,5.709464442507021,-0.7838567759582139,24.442139,26.065737,6.160974235614234e-17,42.71815183709408,19.46551748788282,2
j0022,517,5.589930941808115,-0.6111803049118727,24.456,26.860905,6.984517951472742e-17,42.77263888236277,19.415411004188584,2
j0022,250,5.288690776207868,-0.8455055061351311,24.853947,26.706324,4.4476971535710235e-17,42.5766376526623,19.163580298831924,2
j0022,487,5.550275535539582,-0.6402649220504518,24.51863,25.523026,4.4664237164758437e-17,42.57846236538883,19.0268432779716,2
j0022,329,5.489018542913373,-0.779627704588312,24.287395,25.169281,5.092840320080946e-17,42.63546250406482,19.00496524572888,2
j0022,120,5.226612644302416,-1.0273115510208777,24.225069,25.228231,5.848705066111414e-17,42.6955621661151,18.94835988780715,2
j0022,670,5.295710386233154,-0.407229565331338,24.92215,26.428514,3.8290991597510216e-17,42.51159905760131,18.826141546214643,2
j0022,359,5.175872510542274,-0.7537382363994009,24.37832,25.200966,4.474085323903668e-17,42.57920670659533,18.81785673727973,2
j0022,663,5.489435373283108,-0.4155264684732904,23.901964,25.11984,8.80614393369226e-17,42.87328822404957,18.653683226060576,2
j0022,6,5.603946598778343,-1.1942976148302895,24.591295,27.636726,6.50290985556437e-17,42.7416101782455,18.52839018845097,2
j0022,604,5.632487886787037,-0.5469338416647018,24.261433,25.310007,5.808568969646254e-17,42.69257159489854,18.267673942805423,2
j0022,107,5.815663693201851,-1.0461049559985225,24.563158,25.434654,3.9202083643293856e-17,42.5218115954272,18.1752365317858,2
j0022,288,5.337455057368448,-0.811607244766194,24.841955,27.014688,4.7520194258426186e-17,42.60538065179428,17.95748613707825,2
j0022,494,5.144648685686156,-0.6344327696845701,24.994808,27.775959,4.40478267919675e-17,42.572426930748016,17.395832097836376,2
j0022,326,5.4951749283853175,-0.7801855591689248,24.74943,26.452593,4.737075054353719e-17,42.60401271021616,17.016199755756254,2
j0022,743,5.468495143688449,-0.3465309118850423,24.184916,25.556965,7.219802644782972e-17,42.78702777063664,16.782445472210096,2
j0022,482,5.196398825863329,-0.6420392227895003,24.798964,29.888155,5.664075330673492e-17,42.68163146517894,16.76552033041016,2
j0022,762,5.514152182638934,-0.3329209439260688,24.970861,27.331148,4.324679679759407e-17,42.56445639014122,16.222280731805743,2
j0022,421,5.993865494803168,-0.687043320735764,25.03182,28.047998,4.3264647868204896e-17,42.56463561779376,16.028652149718987,2
j0022,276,5.775728904065887,-0.8241695156289137,24.403803,25.41232,4.9770306909908025e-17,42.62547276330004,15.979060684219322,2
j0022,408,5.7198839047073164,-0.7000311778313345,24.665365,26.33474,5.075850937361338e-17,42.634011304132656,15.91034477315793,2
j0022,298,5.470785465866651,-0.8046931702940082,24.823854,26.744394,4.6344279658130756e-17,42.59449858064815,15.07416230085654,2
j0022,580,5.262167565154909,-0.5610331656598393,24.475489,25.271517,4.001476496421776e-17,42.53072271476989,15.007291253901954,2
j0022,84,5.509792275864302,-1.073572926712048,24.74842,26.609829,4.9107007297325715e-17,42.61964591241588,14.816808244889426,2
j0022,215,5.921189369291736,-0.8674902532632173,24.30368,25.21487,5.1236483926905676e-17,42.638081763355295,14.778963789494885,2
j0022,601,5.257849014713036,-0.5499784651599908,24.403557,25.983486,6.308145065455854e-17,42.72840411649778,14.429241381550076,2
j0022,533,5.156959003258653,-0.601200612431211,24.84071,26.710476,4.518124125388974e-17,42.58346060248044,14.383493854667684,2
j0022,782,5.382740074249077,-0.3128959834801985,24.273502,25.164213,5.191754324262421e-17,42.6438165777622,14.204976763216786,2
j0022,195,5.718769645417066,-0.8834875226087253,24.565453,25.77081,4.7528084084742986e-17,42.60545275216475,13.670973644636124,2
j0022,428,5.198268822831613,-0.681468007317205,24.674004,25.75172,4.036955106691077e-17,42.53455636428716,13.60624824475088,2
j0022,224,5.190967320485777,-0.8593769495180031,24.507458,25.81799,5.241057524697834e-17,42.64792137090913,13.463056601050738,2
j0022,704,5.9369486703653145,-0.3827417669349717,24.3755,25.338799,4.9666411345059866e-17,42.62456522556711,13.209454527803626,2
j0022,415,6.060540624026307,-0.6901373173432251,25.207073,29.166433,3.8232180379879947e-17,42.51093151098348,13.187502058205528,2
j0022,668,5.280723137185519,-0.4090224181179774,24.541422,25.465387,4.152692391236832e-17,42.54683220659836,12.760882026828831,2
j0022,637,5.438656991852352,-0.5249872487475942,24.974592,27.999428,4.5630260815412667e-17,42.587755395598286,12.703731863906274,2
