,RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
171,5.118183175213614,-0.7587556110334106,J2026.10,354,T,3,3.2,2.5036343257569962e-17
173,5.268441579064435,-0.565927874613159,J2026.10,576,T,3,3.2,2.075594813845687e-17
179,5.251668379517778,-0.7313838085325695,J2026.10,378,T,3,3.2,2.0600456524971485e-17
181,5.144214033939651,-0.9370177424184728,J2026.10,131,T,3,3.2,2.7196664098595637e-17
182,5.30078315577858,-0.8574449874756118,J2026.10,228,T,3,3.2,2.3965763754325318e-17
189,5.27881289881287,-0.527969856887705,J2026.10,634,T,3,3.2,1.4277414676935274e-17
192,5.362017226209496,-0.764723036861734,J2026.10,347,T,3,3.2,3.1599826059758124e-17
193,5.196300691004725,-0.5887433044801207,J2026.10,547,T,3,3.2,1.8190510452064418e-17
194,5.246333875804385,-0.6364832593329545,J2026.10,493,T,3,3.2,3.0869187373990503e-17
196,5.23073952019832,-0.6853873714244094,J2026.10,422,T,3,3.2,2.869787249471808e-17
201,5.120107312771723,-0.6011955869213327,J2026.10,532,T,3,3.2,1.4207447836084526e-17
205,5.1736433944754445,-0.8656846498160801,J2026.10,218,T,3,3.2,3.421109640718151e-17
208,5.286946389182425,-0.6466722268695704,J2026.10,474,T,3,3.2,2.7694515335508965e-17
209,5.377656065968597,-0.8964198818847705,J2026.10,181,T,3,3.2,1.6162997593140302e-17
210,5.30648407060537,-0.6517428337209956,J2026.10,468,T,3,3.2,3.31997208726255e-17
217,5.160996344388176,-0.6628848929172905,J2026.10,453,T,3,3.2,1.5861333688573642e-17
224,5.146806230797745,-0.8027697337404989,J2026.10,300,T,3,3.2,2.632967380889133e-17
228,5.274585707075327,-0.6787931478349004,J2026.10,430,T,3,3.2,1.6312457180567054e-17
230,5.276300109457288,-0.5874958304052701,J2026.10,551,T,3,3.2,3.5599585579684356e-17
232,5.389460578082864,-0.8253093421056023,J2026.10,274,T,3,3.2,1.683509574104803e-17
235,5.280323033577769,-0.6489253363418076,J2026.10,471,T,3,3.2,2.68110819108964e-17
238,5.163777350930311,-0.9068121196408664,J2026.10,169,T,3,3.2,2.3672006182140386e-17
243,5.35640781610076,-0.798692247634861,J2026.10,305,T,3,3.2,2.5526416097754042e-17
249,5.176367908753785,-0.9124797409219634,J2026.10,162,T,3,3.2,3.127594354282679e-17
256,5.384805693439535,-0.8302051169454622,J2026.10,265,T,3,3.2,2.921300126800841e-17
264,5.401639344554792,-0.7892576935372337,J2026.10,313,T,3,3.2,2.0608649163147386e-17
266,5.176548233561792,-0.5496765962134962,J2026.10,599,T,3,3.2,1.668026333333696e-17
271,5.439501091478298,-0.6037709390245767,J2026.10,528,T,3,3.2,1.932082701897896e-17
275,5.272468292577661,-0.6732563890363152,J2026.10,437,T,3,3.2,1.6344300888222515e-17
276,5.304358357284287,-0.7856913643612977,J2026.10,318,T,3,3.2,3.114168711428819e-17
280,5.119089174159391,-0.6790066539149285,J2026.10,431,T,3,3.2,2.056472379202711e-17
284,5.157384000768564,-0.8692797927548543,J2026.10,209,T,3,3.2,1.8250414853323305e-17
292,5.172480685128863,-0.914035436220862,J2026.10,158,T,3,3.2,3.1071284016247787e-17
300,5.260256439074103,-0.9070365257663234,J2026.10,170,T,3,3.2,3.6664449070014536e-17
302,5.266111241452208,-0.6834735353969545,J2026.10,425,T,3,3.2,3.49782288532877e-17
303,5.176056598679083,-0.8673544366527993,J2026.10,216,T,3,3.2,3.5422182311154076e-17
305,5.151633831625159,-0.8114373704030596,J2026.10,287,T,3,3.2,1.631198891127155e-17
312,5.1911888463260345,-0.6184575249935763,J2026.10,511,T,3,3.2,2.78491058329572e-17
319,5.175192079467501,-0.7764250481698745,J2026.10,332,T,3,3.2,1.4514332572767568e-17
323,5.195409210888492,-0.6210450665438673,J2026.10,508,T,3,3.2,3.550462177147845e-17
324,5.243030994960997,-0.8331240788853023,J2026.10,261,T,3,3.2,3.074274897432725e-17
329,5.1871756219785565,-0.8568393411084521,J2026.10,231,T,3,3.2,2.0979385273445445e-17
330,5.154732673354326,-0.5466841529341193,J2026.10,603,T,3,3.2,2.902459700453186e-17
334,5.132674218454186,-0.647840302720154,J2026.10,472,T,3,3.2,1.6192731225703558e-17
339,5.282742574521428,-0.8544953521951052,J2026.10,236,T,3,3.2,2.148198483599917e-17
343,5.2980016060456,-0.7788816674577326,J2026.10,328,T,3,3.2,2.224751036237734e-17
347,5.288134102856492,-0.7068494577804868,J2026.10,397,T,3,3.2,1.7259955933329842e-17
351,5.37808518667345,-0.8850970477050955,J2026.10,193,T,3,3.2,3.325596694053707e-17
352,5.375067420433858,-0.7088362822152244,J2026.10,394,T,3,3.2,3.141089167685109e-17
354,5.327948664608094,-0.8525494007536066,J2026.10,241,T,3,3.2,2.291930118346992e-17
358,5.132411832406726,-0.6085712802180742,J2026.10,522,T,3,3.2,2.9997420766762967e-17
365,5.222781374267629,-0.6874311922401225,J2026.10,420,T,3,3.2,1.833440842725378e-17
367,5.327595403720868,-0.7816019542026913,J2026.10,324,T,3,3.2,1.8121195529828208e-17
368,5.186211777303825,-0.7557607442065466,J2026.10,357,T,3,3.2,3.1045372243464216e-17
370,5.148508154319741,-0.556920619552075,J2026.10,587,T,3,3.2,2.88618635381538e-17
371,5.154499476920376,-0.827859940442003,J2026.10,271,T,3,3.2,1.5909171661121798e-17
372,5.345461393816078,-0.9323402860786006,J2026.10,134,T,3,3.2,2.094439659210476e-17
373,5.249542240446777,-0.6097815966988558,J2026.10,518,T,3,3.2,1.6993633322944438e-17
376,5.366363393246609,-0.6407729017708408,J2026.10,483,T,3,3.2,3.3595575378747215e-17
379,5.293355402693495,-0.894082598231012,J2026.10,183,T,3,3.2,3.2103854825942146e-17
380,5.188728251772946,-0.572463818598302,J2026.10,571,T,3,3.2,1.6298050795266956e-17
382,5.3297333864881065,-0.549250841614766,J2026.10,600,T,3,3.2,1.812983726515792e-17
385,5.1584404715119305,-0.7362701622317985,J2026.10,374,T,3,3.2,2.4473054542646586e-17
388,5.231579254523008,-0.5362837387969177,J2026.10,620,T,3,3.2,2.888287493180512e-17
389,5.235352148722881,-0.5471708329200256,J2026.10,602,T,3,3.2,3.310268849276734e-17
392,5.184611050909976,-0.6432850231359863,J2026.10,479,T,3,3.2,2.992972047693736e-17
396,5.395140445582876,-0.54361564052732,J2026.10,606,T,3,3.2,2.9568717438960047e-17
403,5.148973053453851,-0.614499515230833,J2026.10,513,T,3,3.2,2.031599733796557e-17
407,5.1918868645829015,-0.7540612342096731,J2026.10,358,T,3,3.2,3.2577878510329343e-17
408,5.3584501481038815,-0.5417993036205474,J2026.10,608,T,3,3.2,1.7576127847419185e-17
412,5.3401332846841445,-0.6989307236293274,J2026.10,409,T,3,3.2,1.4290188909259113e-17
416,5.1298732919916565,-0.622109788205314,J2026.10,506,T,3,3.2,1.4778880514979558e-17
425,5.131809349436281,-0.7008056715057236,J2026.10,407,T,3,3.2,2.269512615906537e-17
426,5.308314314870902,-0.5761822643004108,J2026.10,569,T,3,3.2,2.0468818876646897e-17
437,5.176459255978929,-0.6731388762206136,J2026.10,439,T,3,3.2,1.6333826821484058e-17
