RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
344.82432348175456,13.92684809245242,J2026.10,434,T,3,3.12,2.6111574670998805e-17
345.0364553972383,14.05041887907943,J2026.10,578,T,3,3.12,2.048637332890299e-17
344.97887463508056,14.02758115606498,J2026.10,549,T,3,3.12,2.4647520811046928e-17
345.24939994942474,13.82243585855505,J2026.10,358,T,3,3.12,2.4990303293935322e-17
345.11997370502405,13.813664463783647,J2026.10,353,T,3,3.12,2.4134627392804137e-17
344.90388292670696,13.970312238980949,J2026.10,472,T,3,3.12,1.9777103572071537e-17
344.9121615243329,13.728552713968666,J2026.10,257,T,3,3.12,1.963049792946389e-17
345.14441598927544,13.74647193959572,J2026.10,274,T,3,3.12,1.8995139811583208e-17
345.2358208174651,13.742771403417724,J2026.10,270,T,3,3.12,1.5536264468337412e-17
345.1545543485868,13.91306456403512,J2026.10,419,T,3,3.12,1.6923246222391653e-17
345.1348744685341,13.938281128573426,J2026.10,449,T,3,3.12,1.461170251373176e-17
345.16085818697474,13.993837187946353,J2026.10,496,T,3,3.12,2.2334555836922518e-17
344.97471469959174,13.673513272788936,J2026.10,189,T,3,3.12,1.6384395259731373e-17
344.9498607628399,13.76616148618154,J2026.10,295,T,3,3.12,3.283446204284325e-17
344.82453893118566,13.871386381390169,J2026.10,393,T,3,3.12,2.514362623543473e-17
344.9489015969429,13.806224027011234,J2026.10,344,T,3,3.12,1.2618201382890108e-17
345.12872491462844,14.017218106515562,J2026.10,539,T,3,3.12,3.07845432657684e-17
344.95280310571263,13.93632571996558,J2026.10,447,T,3,3.12,2.802976041321623e-17
345.1666992680875,13.65124456405635,J2026.10,160,T,3,3.12,2.706201766477615e-17
345.1649161662553,13.889881008762831,J2026.10,402,T,3,3.12,2.1180211212609425e-17
345.2677898138081,13.931535968600668,J2026.10,441,T,3,3.12,1.9873526051067127e-17
345.1681540034575,14.009058710277984,J2026.10,526,T,3,3.12,2.165339693118321e-17
345.2681703374251,13.93153462784127,J2026.10,440,T,3,3.12,1.307436219313137e-17
344.9030240776061,13.711718284270445,J2026.10,236,T,3,3.12,1.9370883296129882e-17
345.2421240923867,13.791020582683126,J2026.10,323,T,3,3.12,1.710781519666812e-17
345.04540746604675,13.710606759965444,J2026.10,235,T,3,3.12,1.9855470760109082e-17
345.02067319260505,13.692752667718432,J2026.10,219,T,3,3.12,2.7030239617728808e-17
344.9616106641621,14.012183698221444,J2026.10,531,T,3,3.12,1.840759457347653e-17
345.12652446075623,13.974122184215808,J2026.10,477,T,3,3.12,1.3694362968922166e-17
345.2630969685068,13.856824366154392,J2026.10,379,T,3,3.12,3.184625537637008e-17
345.0499878838671,13.770112572803642,J2026.10,299,T,3,3.12,2.735109841833497e-17
345.0254072012338,13.790915786766346,J2026.10,322,T,3,3.12,1.8922249894240256e-17
345.1882737049245,13.80992081256742,J2026.10,350,T,3,3.12,2.8590035507023984e-17
344.98462398999624,13.65705171899965,J2026.10,165,T,3,3.12,2.08113290197356e-17
345.24390943405507,13.74688203144896,J2026.10,276,T,3,3.12,2.6379182803805128e-17
345.296632316084,13.82020162170496,J2026.10,357,T,3,3.12,1.559713632204758e-17
344.94627178049063,13.69766142738656,J2026.10,223,T,3,3.12,1.4830399065215457e-17
345.149684363526,13.808678146176597,J2026.10,348,T,3,3.12,2.6280669183371984e-17
345.2357267009769,13.767159987687505,J2026.10,296,T,3,3.12,1.5890684777296238e-17
344.94566390554587,13.998156091180569,J2026.10,505,T,3,3.12,1.5315130210549758e-17
345.2376282016366,13.887229242095826,J2026.10,399,T,3,3.12,2.7188330203855866e-17
345.0523503273716,13.80427672524177,J2026.10,339,T,3,3.12,2.3706012732304777e-17
345.24970267977176,13.836121203013583,J2026.10,368,T,3,3.12,1.6570616978147234e-17
345.19114616713904,13.894399510316422,J2026.10,405,T,3,3.12,1.6664010406178285e-17
344.90508582177904,14.005141065241968,J2026.10,521,T,3,3.12,1.808839474787769e-17
345.1295858729469,13.753649904262488,J2026.10,281,T,3,3.12,3.36575384356343e-17
345.2752604464761,13.918790012104,J2026.10,423,T,3,3.12,1.3888400504034868e-17
345.2003592890929,13.684785854578696,J2026.10,203,T,3,3.12,1.7576635113985014e-17
345.1611988661102,14.04663191083162,J2026.10,571,T,3,3.12,1.4709383485621932e-17
345.2409937454012,13.892593670597616,J2026.10,404,T,3,3.12,1.3388685131102125e-17
345.20135537359704,13.824319922473538,J2026.10,360,T,3,3.12,2.0547830395342106e-17
344.8653932290283,13.690393312186622,J2026.10,212,T,3,3.12,3.0118327254884544e-17
344.93254009315694,13.928770988619734,J2026.10,437,T,3,3.12,2.3847697420166845e-17
345.18586092285324,13.686062294916349,J2026.10,205,T,3,3.12,1.3183889420464382e-17
344.8446013953768,13.791905495636431,J2026.10,324,T,3,3.12,2.0119862883870244e-17
344.87279159833565,13.991371962264273,J2026.10,493,T,3,3.12,1.2286343726835873e-17
345.2517863474911,13.715631788396491,J2026.10,242,T,3,3.12,1.8217028096266184e-17
345.2804034932105,13.8396153516183,J2026.10,370,T,3,3.12,1.8306990962954506e-17
345.17223988111607,13.739681653924215,J2026.10,267,T,3,3.12,2.592424115906724e-17
345.13129433348024,13.806476362558527,J2026.10,346,T,3,3.12,2.7304606960935762e-17
345.2686865560136,13.851540954287117,J2026.10,377,T,3,3.12,1.700370504180183e-17
345.21011989109945,13.70027974338017,J2026.10,225,T,3,3.12,1.7422941379793545e-17
344.9637384686536,14.056581070826864,J2026.10,581,T,3,3.12,1.585760818913081e-17
345.070945334971,13.731080387838029,J2026.10,260,T,3,3.12,1.4692077766523214e-17
344.90995390704114,13.824972067441388,J2026.10,361,T,3,3.12,3.104217045049592e-17
345.06462410182,13.868883236429582,J2026.10,391,T,3,3.12,1.2307034079717622e-17
345.05244152118405,13.6433803657427,J2026.10,150,T,3,3.12,2.4630322046999118e-17
345.1209327793657,13.689407948817042,J2026.10,210,T,3,3.12,1.6137125570979996e-17
344.9048467109288,13.787579468834693,J2026.10,316,T,3,3.12,2.193985188561338e-17
